"resultado","convocatoria","escalafon","sexo","disciplina_codigo","n"
"Denegado","2010","Becas doctorales","F","KA1",54
"Denegado","2010","Becas doctorales","F","KA2",7
"Denegado","2010","Becas doctorales","F","KA4",3
"Denegado","2010","Becas doctorales","F","KA5",46
"Denegado","2010","Becas doctorales","F","KB1",73
"Denegado","2010","Becas doctorales","F","KB2",164
"Denegado","2010","Becas doctorales","F","KB3",41
"Denegado","2010","Becas doctorales","F","KB4",32
"Denegado","2010","Becas doctorales","F","KE1",26
"Denegado","2010","Becas doctorales","F","KE2",5
"Denegado","2010","Becas doctorales","F","KE3",6
"Denegado","2010","Becas doctorales","F","KE5",17
"Denegado","2010","Becas doctorales","F","KS1",56
"Denegado","2010","Becas doctorales","F","KS2",49
"Denegado","2010","Becas doctorales","F","KS3",96
"Denegado","2010","Becas doctorales","F","KS4",146
"Denegado","2010","Becas doctorales","F","KS5",115
"Denegado","2010","Becas doctorales","F","KS6",25
"Denegado","2010","Becas doctorales","M","KA1",28
"Denegado","2010","Becas doctorales","M","KA2",20
"Denegado","2010","Becas doctorales","M","KA3",1
"Denegado","2010","Becas doctorales","M","KA4",9
"Denegado","2010","Becas doctorales","M","KA5",22
"Denegado","2010","Becas doctorales","M","KB1",26
"Denegado","2010","Becas doctorales","M","KB2",63
"Denegado","2010","Becas doctorales","M","KB3",16
"Denegado","2010","Becas doctorales","M","KB4",16
"Denegado","2010","Becas doctorales","M","KE1",22
"Denegado","2010","Becas doctorales","M","KE2",10
"Denegado","2010","Becas doctorales","M","KE3",7
"Denegado","2010","Becas doctorales","M","KE4",4
"Denegado","2010","Becas doctorales","M","KE5",4
"Denegado","2010","Becas doctorales","M","KS1",48
"Denegado","2010","Becas doctorales","M","KS2",15
"Denegado","2010","Becas doctorales","M","KS3",43
"Denegado","2010","Becas doctorales","M","KS4",94
"Denegado","2010","Becas doctorales","M","KS5",67
"Denegado","2010","Becas doctorales","M","KS6",21
"Denegado","2010","Becas externas","F","KA2",1
"Denegado","2010","Becas externas","F","KE5",1
"Denegado","2010","Becas externas","M","KA5",1
"Denegado","2010","Becas externas","M","KS4",1
"Denegado","2010","Becas externas","M","KS5",1
"Denegado","2010","Becas postdoctorales","F","KA1",9
"Denegado","2010","Becas postdoctorales","F","KA3",1
"Denegado","2010","Becas postdoctorales","F","KA4",2
"Denegado","2010","Becas postdoctorales","F","KA5",6
