"resultado","convocatoria","sexo","disciplina_codigo","n"
"Denegado","2010","F","KA1",24
"Denegado","2010","F","KA2",4
"Denegado","2010","F","KA3",6
"Denegado","2010","F","KA4",4
"Denegado","2010","F","KA5",31
"Denegado","2010","F","KB1",31
"Denegado","2010","F","KB2",70
"Denegado","2010","F","KB3",23
"Denegado","2010","F","KB4",8
"Denegado","2010","F","KE1",35
"Denegado","2010","F","KE2",1
"Denegado","2010","F","KE3",5
"Denegado","2010","F","KE5",17
"Denegado","2010","F","KS1",14
"Denegado","2010","F","KS2",12
"Denegado","2010","F","KS3",41
"Denegado","2010","F","KS4",54
"Denegado","2010","F","KS5",32
"Denegado","2010","F","KS6",8
"Denegado","2010","F","KT1",6
"Denegado","2010","M","KA1",16
"Denegado","2010","M","KA2",10
"Denegado","2010","M","KA3",1
"Denegado","2010","M","KA4",1
"Denegado","2010","M","KA5",15
"Denegado","2010","M","KB1",15
"Denegado","2010","M","KB2",36
"Denegado","2010","M","KB3",8
"Denegado","2010","M","KB4",6
"Denegado","2010","M","KE1",28
"Denegado","2010","M","KE2",9
"Denegado","2010","M","KE3",12
"Denegado","2010","M","KE5",14
"Denegado","2010","M","KS1",9
"Denegado","2010","M","KS2",9
"Denegado","2010","M","KS3",15
"Denegado","2010","M","KS4",30
"Denegado","2010","M","KS5",13
"Denegado","2010","M","KS6",8
"Denegado","2010","M","KT1",7
"Denegado","2011","F","KA1",30
"Denegado","2011","F","KA2",4
"Denegado","2011","F","KA3",7
"Denegado","2011","F","KA4",4
"Denegado","2011","F","KA5",29
"Denegado","2011","F","KB1",38
"Denegado","2011","F","KB2",103
"Denegado","2011","F","KB3",38
"Denegado","2011","F","KB4",15
"Denegado","2011","F","KE1",35
"Denegado","2011","F","KE2",3
"Denegado","2011","F","KE3",6
"Denegado","2011","F","KE4",4
"Denegado","2011","F","KE5",19
"Denegado","2011","F","KS1",25
"Denegado","2011","F","KS2",25
"Denegado","2011","F","KS3",40
"Denegado","2011","F","KS4",85
"Denegado","2011","F","KS5",30
"Denegado","2011","F","KS6",11
"Denegado","2011","F","KS7",3
"Denegado","2011","F","KT1",8
"Denegado","2011","M","KA1",17
"Denegado","2011","M","KA2",14
"Denegado","2011","M","KA3",5
"Denegado","2011","M","KA4",4
"Denegado","2011","M","KA5",20
"Denegado","2011","M","KB1",18
"Denegado","2011","M","KB2",44
"Denegado","2011","M","KB3",13
"Denegado","2011","M","KB4",8
"Denegado","2011","M","KE1",23
"Denegado","2011","M","KE2",7
"Denegado","2011","M","KE3",17
"Denegado","2011","M","KE4",2
"Denegado","2011","M","KE5",9
"Denegado","2011","M","KS1",22
"Denegado","2011","M","KS2",5
"Denegado","2011","M","KS3",28
"Denegado","2011","M","KS4",39
"Denegado","2011","M","KS5",23
"Denegado","2011","M","KS6",11
"Denegado","2011","M","KT1",8
"Denegado","2012","F","KA1",35
"Denegado","2012","F","KA2",8
"Denegado","2012","F","KA3",8
"Denegado","2012","F","KA4",2
"Denegado","2012","F","KA5",31
"Denegado","2012","F","KB1",35
"Denegado","2012","F","KB2",97
"Denegado","2012","F","KB3",26
"Denegado","2012","F","KB4",11
"Denegado","2012","F","KE1",31
"Denegado","2012","F","KE2",6
"Denegado","2012","F","KE3",3
"Denegado","2012","F","KE4",6
"Denegado","2012","F","KE5",14
